# 每行：频道名|关键字（匹配 tvg-name 或 逗号后面的名称）

# 央视
CCTV1综合|CCTV1综合
CCTV2财经|CCTV2财经
CCTV3综艺|CCTV3综艺
CCTV4中文国际|CCTV4中文国际
CCTV5体育|CCTV5体育
CCTV5+体育赛事|CCTV5+体育赛事
CCTV6电影|CCTV6电影
CCTV7国防军事|CCTV7国防军事
CCTV8电视剧|CCTV8电视剧
CCTV9纪录|CCTV9纪录
CCTV10科教|CCTV10科教
CCTV11戏曲|CCTV11戏曲
CCTV12社会与法|CCTV12社会与法
CCTV13新闻|CCTV13新闻
CCTV14少儿|CCTV14少儿
CCTV15音乐|CCTV15音乐
CCTV17农业农村|CCTV17农业农村
CCTV4欧洲|CCTV4欧洲
CCTV4美洲|CCTV4美洲
CGTN外语纪录|CGTN外语纪录
CGTN阿拉伯语|CGTN阿拉伯语
CGTN西班牙语|CGTN西班牙语
CGTN法语|CGTN法语
CGTN俄语|CGTN俄语
CGTN|CGTN
老故事|老故事
发现之旅|发现之旅
中学生|中学生

# 体育类
赛事最经典|赛事最经典
体坛名栏汇|体坛名栏汇
四海钓鱼|四海钓鱼
陕西体育休闲频道|陕西体育休闲频道
武术世界|武术世界
快乐垂钓|快乐垂钓
辽宁广播电视台体育休闲频道|辽宁广播电视台体育休闲频道

# 卫视
东方卫视|东方卫视
江苏卫视|江苏卫视
广东卫视|广东卫视
北京卫视|北京卫视
辽宁卫视|辽宁卫视
河北卫视|河北卫视
江西卫视|江西卫视
河南卫视|河南卫视
陕西卫视|陕西卫视
大湾区卫视|大湾区卫视
湖北卫视|湖北卫视
吉林卫视|吉林卫视
青海卫视|青海卫视
东南卫视|东南卫视
海南卫视|海南卫视
海峡卫视|海峡卫视
中国农林卫视|中国农林卫视
兵团卫视|兵团卫视
宁夏卫视|宁夏卫视
重庆卫视|重庆卫视
三沙卫视|三沙卫视

# 地方频道（示例，按源里常见的先列一批）
上海新闻综合|上海新闻综合
上视东方影视|上视东方影视
上海第一财经|上海第一财经
南京新闻综合频道|南京新闻综合频道
南京教科频道|南京教科频道
南京十八频道|南京十八频道
体育休闲频道|体育休闲频道
江苏城市频道|江苏城市频道
江苏国际|江苏国际
江苏教育|江苏教育
江苏影视频道|江苏影视频道
江苏综艺频道|江苏综艺频道
公共新闻频道|公共新闻频道
盐城新闻综合|盐城新闻综合
淮安新闻综合|淮安新闻综合
泰州新闻综合|泰州新闻综合
连云港新闻综合|连云港新闻综合
宿迁新闻综合|宿迁新闻综合
徐州新闻综合|徐州新闻综合
优漫卡通频道|优漫卡通频道
江阴新闻综合|江阴新闻综合
南通新闻综合|南通新闻综合
宜兴新闻综合|宜兴新闻综合
溧水新闻综合|溧水新闻综合
陕西银龄频道|陕西银龄频道
陕西都市青春频道|陕西都市青春频道
陕西秦腔频道|陕西秦腔频道
陕西新闻资讯频道|陕西新闻资讯频道
财富天下|财富天下
镇江新闻综合|镇江新闻综合
辽宁广播电视台公共频道|辽宁广播电视台公共频道
辽宁广播电视台生活频道|辽宁广播电视台生活频道
辽宁广播电视台影视剧频道|辽宁广播电视台影视剧频道
宁夏广播电视台文旅频道|宁夏广播电视台文旅频道
宁夏广播电视台经济频道|宁夏广播电视台经济频道

# 影视频道
经典香港电影|经典香港电影
抗战经典影片|抗战经典影片
新片放映厅|新片放映厅
CHC影迷电影|CHC影迷电影
CHC动作电影|CHC动作电影
CHC家庭影院|CHC家庭影院
和美乡途轮播台|和美乡途轮播台
南方影视|南方影视

# 新闻 / 资讯
中国天气|中国天气

# 教育频道
CETV1|CETV1
CETV2|CETV2
CETV4|CETV4
山东教育|山东教育

# 熊猫频道
熊猫频道01高清|熊猫频道01高清
熊猫频道1|熊猫频道1
熊猫频道2|熊猫频道2
熊猫频道3|熊猫频道3
熊猫频道4|熊猫频道4
熊猫频道5|熊猫频道5
熊猫频道6|熊猫频道6
熊猫频道7|熊猫频道7
熊猫频道8|熊猫频道8
熊猫频道9|熊猫频道9
熊猫频道10|熊猫频道10

# 综艺 / 少儿
最强综艺趴|最强综艺趴
嘉佳卡通|嘉佳卡通
经典动画大集合|经典动画大集合
新动漫|新动漫

# 纪实 / 生活
新动力量创一流|新动力量创一流
中华特产|中华特产
环球旅游|环球旅游
茶|茶

# 说明：
# 1. 左边是显示给用户看的频道名，完全沿用源里的中文。
# 2. 右边关键字直接用频道名本身，脚本会用 `[[ "$url" == *"$key"* ]]` 去匹配 tvg-name/频道名那一行。
# 3. 源里还有大量回放/赛事（如 “NBA 76人VS太阳 全场回放...”），不适合做固定直播频道，
#    这类如果你要显示原始赛事标题，就可以保持脚本当前逻辑：找不到映射就用原始名称。
